run_accession	sample_accession	experiment_accession	experiment_title	experiment_alias	run_alias	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	fastq_ftp	sra_ftp
SRR13806057	SAMN18089826	SRX10188983	Illumina HiSeq 2500 sequencing: Untreated1 Normal RNA R1	UT1_Normal_RNA	UT1_Normal_R1.fastq.gz	UT1_Normal_RNA	UT1_Normal_RNA	UT1_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13806057/SRR13806057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13806057/SRR13806057_2.fastq.gz	
SRR13806066	SAMN18089844	SRX10188974	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Near RNA R1	IpiNivo_Mixed_Near_RNA	IpiNivo_Mixed_Near_R1.fastq.gz	IpiNivo_Mixed_Near_RNA	IpiNivo_Mixed_Near_RNA	IpiNivo_Mixed_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13806066/SRR13806066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13806066/SRR13806066_2.fastq.gz	
SRR13806064	SAMN18089846	SRX10188976	Illumina HiSeq 2500 sequencing: IpiNivo Mixed PBMC RNA R1	IpiNivo_Mixed_PBMC_RNA	IpiNivo_Mixed_PBMC_R1.fastq.gz	IpiNivo_Mixed_PBMC_RNA	IpiNivo_Mixed_PBMC_RNA	IpiNivo_Mixed_PBMC_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13806064/SRR13806064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13806064/SRR13806064_2.fastq.gz	
SRR13806071	SAMN18089840	SRX10188969	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Normal RNA R1	IpiNivo_Resistant_Normal_RNA	IpiNivo_Resistant_Normal_R1.fastq.gz	IpiNivo_Resistant_Normal_RNA	IpiNivo_Resistant_Normal_RNA	IpiNivo_Resistant_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/071/SRR13806071/SRR13806071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/071/SRR13806071/SRR13806071_2.fastq.gz	
SRR13806065	SAMN18089845	SRX10188975	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Normal RNA R1	IpiNivo_Mixed_Normal_RNA	IpiNivo_Mixed_Normal_R1.fastq.gz	IpiNivo_Mixed_Normal_RNA	IpiNivo_Mixed_Normal_RNA	IpiNivo_Mixed_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13806065/SRR13806065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13806065/SRR13806065_2.fastq.gz	
SRR13806074	SAMN18089837	SRX10188966	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Far RNA R1	IpiNivo_Resistant_Far_RNA	IpiNivo_Resistant_Far_R1.fastq.gz	IpiNivo_Resistant_Far_RNA	IpiNivo_Resistant_Far_RNA	IpiNivo_Resistant_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/074/SRR13806074/SRR13806074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/074/SRR13806074/SRR13806074_2.fastq.gz	
SRR13806070	SAMN18089841	SRX10188970	Illumina HiSeq 2500 sequencing: IpiNivo Resistant PBMC RNA R1	IpiNivo_Resistant_PBMC_RNA	IpiNivo_Resistant_PBMC_R1.fastq.gz	IpiNivo_Resistant_PBMC_RNA	IpiNivo_Resistant_PBMC_RNA	IpiNivo_Resistant_PBMC_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/070/SRR13806070/SRR13806070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/070/SRR13806070/SRR13806070_2.fastq.gz	
SRR13806078	SAMN18089832	SRX10188962	Illumina HiSeq 2500 sequencing: NivoExposed Center RNA R1	NivoExposed_Center_RNA	NivoExposed_LowerMedial_R1.fastq.gz	NivoExposed_Center_RNA	NivoExposed_Center_RNA	NivoExposed_Center_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/078/SRR13806078/SRR13806078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/078/SRR13806078/SRR13806078_2.fastq.gz	
SRR13806072	SAMN18089839	SRX10188968	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Lymph Node RNA R1	IpiNivo_Resistant_LymphNode_RNA	IpiNivo_Resistant_LymphNode_R1.fastq.gz	IpiNivo_Resistant_LymphNode_RNA	IpiNivo_Resistant_LymphNode_RNA	IpiNivo_Resistant_LymphNode_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/072/SRR13806072/SRR13806072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/072/SRR13806072/SRR13806072_2.fastq.gz	
SRR13806079	SAMN18089824	SRX10188961	Illumina HiSeq 2500 sequencing: Untreated 1 Near RNA R1	UT1_Near_RNA	UT1_Upper_R1.fastq.gz	UT1_Near_RNA	UT1_Near_RNA	UT1_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/079/SRR13806079/SRR13806079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/079/SRR13806079/SRR13806079_2.fastq.gz	
SRR13806073	SAMN18089838	SRX10188967	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Near RNA R1	IpiNivo_Resistant_Near_RNA	IpiNivo_Resistant_Near_R1.fastq.gz	IpiNivo_Resistant_Near_RNA	IpiNivo_Resistant_Near_RNA	IpiNivo_Resistant_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/073/SRR13806073/SRR13806073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/073/SRR13806073/SRR13806073_2.fastq.gz	
SRR13806075	SAMN18089836	SRX10188965	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Center RNA R1	IpiNivo_Resistant_Center_RNA	IpiNivo_Resistant_Center_R1.fastq.gz	IpiNivo_Resistant_Center_RNA	IpiNivo_Resistant_Center_RNA	IpiNivo_Resistant_Center_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/075/SRR13806075/SRR13806075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/075/SRR13806075/SRR13806075_2.fastq.gz	
SRR13806077	SAMN18089834	SRX10188963	Illumina HiSeq 2500 sequencing: NivoExposed Normal RNA R1	NivoExposed_Normal_RNA	NivoExposed_Normal_R1.fastq.gz	NivoExposed_Normal_RNA	NivoExposed_Normal_RNA	NivoExposed_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/077/SRR13806077/SRR13806077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/077/SRR13806077/SRR13806077_2.fastq.gz	
SRR13806026	SAMN18089828	SRX10189014	Illumina HiSeq 2500 sequencing: Untreated 2 Near RNA R1	UT2_Near_RNA	UT2_Near_R1.fastq.gz	UT2_Near_RNA	UT2_Near_RNA	UT2_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/026/SRR13806026/SRR13806026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/026/SRR13806026/SRR13806026_2.fastq.gz	
SRR13806029	SAMN18089878	SRX10189011	Illumina HiSeq 2500 sequencing: IpiNivo Complete Near TCR L1 R1	IpiNivo_Complete_Near_TCR	IpiNivo_CompleteResponse_MEDIAL_SC10_TCR_IGO_09335_G_2_S2_L001_R1_001.fastq.gz	IpiNivo_Complete_Near_TCR	IpiNivo_Complete_Near_TCR	IpiNivo_Complete_Near_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13806029/SRR13806029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13806029/SRR13806029_2.fastq.gz	
SRR13806030	SAMN18089877	SRX10189010	Illumina HiSeq 2500 sequencing: IpiNivo Complete Far TCR L1 R1	IpiNivo_Complete_Far_TCR	IpiNivo_CompleteResponse_LATERALTUMOR_SC10TCR_IGO_09335_F_3_S3_L001_R1_001.fastq.gz	IpiNivo_Complete_Far_TCR	IpiNivo_Complete_Far_TCR	IpiNivo_Complete_Far_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/030/SRR13806030/SRR13806030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/030/SRR13806030/SRR13806030_2.fastq.gz	
SRR13806034	SAMN18089873	SRX10189006	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Near TCR L1 R1	IpiNivo_Mixed_Near_TCR	IpiNivo_Mixed_SC08_Near_TCR_IGO_09335_E_5_S5_L001_R1_001.fastq.gz	IpiNivo_Mixed_Near_TCR	IpiNivo_Mixed_Near_TCR	IpiNivo_Mixed_Near_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13806034/SRR13806034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13806034/SRR13806034_2.fastq.gz	
SRR13806039	SAMN18089869	SRX10189001	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Normal TCR L1 R1	IpiNivo_Resistant_Normal_TCR	IpiNivo_Resistant_NormalKidney_TCR_IGO_09335_D_3_S3_L001_R1_001.fastq.gz	IpiNivo_Resistant_Normal_TCR	IpiNivo_Resistant_Normal_TCR	IpiNivo_Resistant_Normal_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13806039/SRR13806039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13806039/SRR13806039_2.fastq.gz	
SRR13806040	SAMN18089868	SRX10189000	Illumina HiSeq 2500 sequencing: IpiNivo Resistant LymphNode TCR L1 R1	IpiNivo_Resistant_LymphNode_TCR	IpiNivo_Resistant_LymphNode_TCR_IGO_09335_D_1_S1_L001_R1_001.fastq.gz	IpiNivo_Resistant_LymphNode_TCR	IpiNivo_Resistant_LymphNode_TCR	IpiNivo_Resistant_LymphNode_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13806040/SRR13806040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13806040/SRR13806040_2.fastq.gz	
SRR13806043	SAMN18089865	SRX10188997	Illumina HiSeq 2500 sequencing: IpiNivo Resistant Center TCR L1 R1	IpiNivo_Resistant_Center_TCR	IpiNivo_Resistant_CenterRegion_TCR_IGO_09335_D_5_S5_L001_R1_001.fastq.gz	IpiNivo_Resistant_Center_TCR	IpiNivo_Resistant_Center_TCR	IpiNivo_Resistant_Center_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13806043/SRR13806043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13806043/SRR13806043_2.fastq.gz	
SRR13806045	SAMN18089863	SRX10188995	Illumina HiSeq 2500 sequencing: NivoExposed Normal TCR L1 R1	NivoExposed_Normal_TCR	NivoExposed_NormalKidney_TCR_IGO_09335_C_2_S2_L001_R1_001.fastq.gz	NivoExposed_Normal_TCR	NivoExposed_Normal_TCR	NivoExposed_Normal_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13806045/SRR13806045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13806045/SRR13806045_2.fastq.gz	
SRR13806050	SAMN18089859	SRX10188990	Illumina HiSeq 2500 sequencing: UT2 Normal TCR L1 R1	UT2_Normal_TCR	UT2_NORMAL-NEW-TCRExp_IGO_09335_B_2_S2_L001_R1_001.fastq.gz	UT2_Normal_TCR	UT2_Normal_TCR	UT2_Normal_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13806050/SRR13806050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13806050/SRR13806050_2.fastq.gz	
SRR13806052	SAMN18089857	SRX10188988	Illumina HiSeq 2500 sequencing: UT2 Far TCR L1 R1	UT2_Far_TCR	UT2_FAR-NEW-TCRExp_IGO_09335_B_3_S3_L001_R1_001.fastq.gz	UT2_Far_TCR	UT2_Far_TCR	UT2_Far_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13806052/SRR13806052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13806052/SRR13806052_2.fastq.gz	
SRR13806055	SAMN18089854	SRX10188985	Illumina HiSeq 2500 sequencing: UT1 Far TCR L1 R1	UT1_Far_TCR	UT1_LowerTCR_IGO_09335_4_S4_L001_R1_001.fastq.gz	UT1_Far_TCR	UT1_Far_TCR	UT1_Far_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13806055/SRR13806055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13806055/SRR13806055_2.fastq.gz	
SRR13806058	SAMN18089852	SRX10188982	Illumina HiSeq 2500 sequencing: UT1 Center TCR L1 R1	UT1_Center_TCR	UT1_CenterTCR_IGO_09335_3_S3_L001_R1_001.fastq.gz	UT1_Center_TCR	UT1_Center_TCR	UT1_Center_TCR	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13806058/SRR13806058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13806058/SRR13806058_2.fastq.gz	
SRR13806059	SAMN18089851	SRX10188981	Illumina HiSeq 2500 sequencing: IpiNivo Complete PBMC RNA R1	IpiNivo_Complete_PBMC_RNA	IpiNivo_CompleteResponse_PBMC_R1.fastq.gz	IpiNivo_Complete_PBMC_RNA	IpiNivo_Complete_PBMC_RNA	IpiNivo_Complete_PBMC_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/059/SRR13806059/SRR13806059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/059/SRR13806059/SRR13806059_2.fastq.gz	
SRR13806060	SAMN18089850	SRX10188980	Illumina HiSeq 2500 sequencing: IpiNivo Complete Normal RNA R1	IpiNivo_Complete_Normal_RNA	IpiNivo_CompleteResponse_Normal_R1.fastq.gz	IpiNivo_Complete_Normal_RNA	IpiNivo_Complete_Normal_RNA	IpiNivo_Complete_Normal_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/060/SRR13806060/SRR13806060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/060/SRR13806060/SRR13806060_2.fastq.gz	
SRR13806061	SAMN18089849	SRX10188979	Illumina HiSeq 2500 sequencing: IpiNivo Complete Near RNA R1	IpiNivo_Complete_Near_RNA	IpiNivo_CompleteResponse_Medial_R1.fastq.gz	IpiNivo_Complete_Near_RNA	IpiNivo_Complete_Near_RNA	IpiNivo_Complete_Near_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13806061/SRR13806061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13806061/SRR13806061_2.fastq.gz	
SRR13806062	SAMN18089848	SRX10188978	Illumina HiSeq 2500 sequencing: IpiNivo Complete Far RNA R1	IpiNivo_Complete_Far_RNA	IpiNivo_CompleteResponse_Lateral_R1.fastq.gz	IpiNivo_Complete_Far_RNA	IpiNivo_Complete_Far_RNA	IpiNivo_Complete_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13806062/SRR13806062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13806062/SRR13806062_2.fastq.gz	
SRR13806067	SAMN18089843	SRX10188973	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Far RNA R1	IpiNivo_Mixed_Far_RNA	IpiNivo_Mixed_Far_R1.fastq.gz	IpiNivo_Mixed_Far_RNA	IpiNivo_Mixed_Far_RNA	IpiNivo_Mixed_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/067/SRR13806067/SRR13806067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/067/SRR13806067/SRR13806067_2.fastq.gz	
SRR13806068	SAMN18089825	SRX10188972	Illumina HiSeq 2500 sequencing: Untreated1 Far RNA R1	UT1_Far_RNA	UT1_Lower_R1.fastq.gz	UT1_Far_RNA	UT1_Far_RNA	UT1_Far_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/068/SRR13806068/SRR13806068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/068/SRR13806068/SRR13806068_2.fastq.gz	
SRR13806069	SAMN18089842	SRX10188971	Illumina HiSeq 2500 sequencing: IpiNivo Mixed Center RNA R1	IpiNivo_Mixed_Center_RNA	IpiNivo_Mixed_Center_R1.fastq.gz	IpiNivo_Mixed_Center_RNA	IpiNivo_Mixed_Center_RNA	IpiNivo_Mixed_Center_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/069/SRR13806069/SRR13806069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/069/SRR13806069/SRR13806069_2.fastq.gz	
SRR13806076	SAMN18089835	SRX10188964	Illumina HiSeq 2500 sequencing: NivoExposed PBMC RNA R1	NivoExposed_PBMC_RNA	NivoExposed_PBMC_R1.fastq.gz	NivoExposed_PBMC_RNA	NivoExposed_PBMC_RNA	NivoExposed_PBMC_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/076/SRR13806076/SRR13806076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/076/SRR13806076/SRR13806076_2.fastq.gz	
SRR13806080	SAMN18089823	SRX10188960	Illumina HiSeq 2500 sequencing: Untreated 1 Center RNA R1	UT1_Center_RNA	UT1_Center_R1.fastq.gz	UT1_Center_RNA	UT1_Center_RNA	UT1_Center_RNA	Targeted-Capture	TRANSCRIPTOMIC SINGLE CELL	PCR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/080/SRR13806080/SRR13806080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/080/SRR13806080/SRR13806080_2.fastq.gz	
