clone_id	n_cells
clone_0399	1
clone_0400	1
clone_0401	1
clone_0402	1
clone_0403	1
clone_0404	1
clone_0405	1
clone_0406	1
clone_0407	1
clone_0408	1
clone_0409	1
clone_0410	1
clone_0411	1
clone_0412	1
clone_0413	1
clone_0414	1
clone_0415	1
clone_0416	1
clone_0417	1
clone_0418	1
clone_0419	1
clone_0420	1
clone_0421	1
clone_0422	1
clone_0423	1
clone_0424	1
clone_0425	1
clone_0426	1
clone_0427	1
clone_0428	1
clone_0429	1
clone_0430	1
clone_0431	1
clone_0432	1
clone_0433	1
clone_0434	1
clone_0435	1
clone_0436	1
clone_0437	1
clone_0438	1
clone_0439	1
clone_0440	1
clone_0441	1
clone_0442	1
clone_0443	1
clone_0444	1
clone_0445	1
clone_0446	1
clone_0447	1
clone_0448	1
clone_0449	1
clone_0450	1
clone_0451	1
clone_0452	1
clone_0453	1
clone_0454	1
clone_0455	1
clone_0456	1
clone_0457	1
clone_0458	1
clone_0459	1
clone_0460	1
clone_0461	1
clone_0462	1
clone_0463	1
clone_0464	1
clone_0465	1
clone_0466	1
clone_0467	1
clone_0468	1
clone_0469	1
clone_0470	1
clone_0471	1
clone_0472	1
clone_0473	1
clone_0474	1
clone_0475	1
clone_0476	1
clone_0477	1
clone_0478	1
clone_0479	1
clone_0480	1
clone_0481	1
clone_0482	1
clone_0483	1
clone_0484	1
clone_0485	1
clone_0486	1
clone_0487	1
clone_0488	1
clone_0489	1
clone_0490	1
clone_0491	1
clone_0492	1
clone_0493	1
clone_0494	1
clone_0495	1
clone_0496	1
clone_0497	1
clone_0498	1
clone_0499	1
clone_0500	1
clone_0501	1
clone_0502	1
clone_0503	1
clone_0504	1
clone_0505	1
clone_0506	1
clone_0507	1
clone_0508	1
clone_0509	1
clone_0510	1
clone_0511	1
clone_0512	1
clone_0513	1
clone_0514	1
clone_0515	1
clone_0516	1
clone_0517	1
clone_0518	1
clone_0519	1
clone_0520	1
clone_0521	1
clone_0522	1
clone_0523	1
clone_0524	1
clone_0525	1
clone_0526	1
clone_0527	1
clone_0528	1
clone_0529	1
clone_0530	1
clone_0531	1
clone_0532	1
clone_0533	1
clone_0534	1
clone_0535	1
clone_0536	1
clone_0537	1
clone_0538	1
clone_0539	1
clone_0540	1
clone_0541	1
clone_0542	1
clone_0543	1
clone_0544	1
clone_0545	1
clone_0546	1
clone_0547	1
clone_0548	1
clone_0549	1
clone_0550	1
clone_0551	1
clone_0552	1
clone_0553	1
clone_0554	1
clone_0555	1
clone_0556	1
clone_0557	1
clone_0558	1
clone_0559	1
clone_0560	1
clone_0561	1
clone_0562	1
clone_0563	1
clone_0564	1
clone_0565	1
clone_0566	1
clone_0567	1
clone_0568	1
clone_0569	1
clone_0570	1
clone_0571	1
clone_0572	1
clone_0573	1
clone_0574	1
clone_0575	1
clone_0576	1
clone_0577	1
clone_0578	1
clone_0579	1
clone_0580	1
clone_0581	1
clone_0582	1
clone_0583	1
clone_0584	1
clone_0585	1
clone_0586	1
clone_0587	1
clone_0588	1
clone_0589	1
clone_0590	1
clone_0591	1
clone_0592	1
clone_0593	1
clone_0594	1
clone_0595	1
clone_0596	1
clone_0597	1
clone_0598	1
clone_0599	1
clone_0600	1
clone_0601	1
clone_0602	1
clone_0603	1
clone_0604	1
clone_0605	1
clone_0606	1
clone_0607	1
clone_0608	1
clone_0609	1
clone_0610	1
clone_0611	1
clone_0612	1
clone_0613	1
clone_0614	1
clone_0615	1
clone_0616	1
clone_0617	1
clone_0618	1
clone_0619	1
clone_0620	1
clone_0621	1
clone_0622	1
clone_0623	1
clone_0624	1
clone_0625	1
clone_0626	1
clone_0627	1
clone_0628	1
clone_0629	1
clone_0630	1
clone_0631	1
clone_0632	1
clone_0633	1
clone_0634	1
clone_0635	1
clone_0636	1
clone_0637	1
clone_0638	1
clone_0639	1
clone_0640	1
clone_0641	1
clone_0642	1
clone_0643	1
clone_0644	1
clone_0645	1
clone_0646	1
clone_0647	1
clone_0648	1
clone_0649	1
clone_0650	1
clone_0651	1
clone_0652	1
clone_0653	1
clone_0654	1
clone_0655	1
clone_0656	1
clone_0657	1
clone_0658	1
clone_0659	1
clone_0660	1
clone_0661	1
clone_0662	1
clone_0663	1
clone_0664	1
clone_0665	1
clone_0666	1
clone_0667	1
clone_0668	1
clone_0669	1
clone_0670	1
clone_0671	1
clone_0672	1
clone_0673	1
clone_0674	1
clone_0675	1
clone_0676	1
clone_0677	1
clone_0678	1
clone_0679	1
clone_0680	1
clone_0681	1
clone_0682	1
clone_0683	1
clone_0684	1
clone_0685	1
clone_0686	1
clone_0687	1
clone_0688	1
clone_0689	1
clone_0690	1
clone_0691	1
clone_0692	1
clone_0693	1
clone_0694	1
clone_0695	1
clone_0696	1
clone_0697	1
clone_0698	1
clone_0699	1
clone_0700	1
clone_0701	1
clone_0702	1
clone_0703	1
clone_0704	1
clone_0705	1
clone_0706	1
clone_0707	1
clone_0708	1
clone_0709	1
clone_0710	1
clone_0711	1
clone_0712	1
clone_0713	1
clone_0714	1
clone_0715	1
clone_0716	1
clone_0717	1
clone_0718	1
clone_0719	1
clone_0720	1
clone_0721	1
clone_0722	1
clone_0723	1
clone_0724	1
clone_0725	1
clone_0726	1
clone_0727	1
clone_0728	1
clone_0729	1
clone_0730	1
clone_0731	1
clone_0732	1
clone_0733	1
clone_0734	1
clone_0735	1
clone_0736	1
clone_0737	1
clone_0738	1
