run_accession	experiment_accession	experiment_title	submitted_ftp	submitted_bytes	submitted_md5	fastq_ftp	sra_ftp
SRR11832842	SRX8383292	Illumina HiSeq 4000 sequencing: GSM4284229: P3_cSCC_1_scRNA Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832842/P3_cSCC_scRNA_1.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832842/P3_cSCC_scRNA_1.bam.bai	3632920739;5704208	1ec67c1a261d5b5cf80bff96ec28df4e;5cfec86031055fffff654112c4129fb7		
SRR11832843	SRX8383293	Illumina HiSeq 4000 sequencing: GSM4284230: P3_normal_scRNA Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832843/P3_normal_scRNA.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832843/P3_normal_scRNA.bam.bai	4196673458;6720104	17d504b7c1d75dc0e3cfaeb6c50d74ce;d821d713ce4a92fb6752f0d586e572ca		
SRR11832844	SRX8383294	Illumina HiSeq 4000 sequencing: GSM4284231: P3_cSCC_scRNA_2 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832844/P3_cSCC_scRNA_2.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR118/SRR11832844/P3_cSCC_scRNA_2.bam.bai	3449869054;6529272	cbd72bc1777d9fead48779210f792ad8;3f7ed4177facbdb65b955c8b240a25a1		
